row|col|sample|dist|memory(bytes)|avgdist|matrixbuildtime(msecs)|sampletime(msecs)
4096|4096|100000|0.001|29579137024|1.554610|610.000000|2230.000000
4096|4096|100000|0.01|29579051008|19.956631|620.000000|2270.000000
4096|4096|100000|0.1|29579304960|196.829025|560.000000|2260.000000
4096|4096|100000|0.3|29579505664|550.787415|610.000000|2240.000000
4096|4096|100000|0.5|29578801152|852.743591|570.000000|2220.000000
4096|4096|100000|0.7|29578706944|1099.396484|710.000000|2210.000000
4096|4096|100000|0.9|29578899456|1291.075195|560.000000|2180.000000
4096|4096|100000|0.1|29578592256|197.584793|660.000000|2260.000000
4096|4096|1000000|0.001|29578899456|1.559414|710.000000|22160.000000
4096|4096|1000000|0.01|29578772480|19.899132|710.000000|22530.000000
4096|4096|1000000|0.1|29579591680|197.390610|570.000000|22520.000000
4096|4096|1000000|0.3|29579251712|552.486877|660.000000|22310.000000
4096|4096|1000000|0.5|29579386880|853.282288|610.000000|22120.000000
4096|4096|1000000|0.7|29579055104|1099.037354|630.000000|21920.000000
4096|4096|1000000|0.9|29578416128|1289.950928|710.000000|21790.000000
4096|4096|1000000|0.1|29577846784|197.370819|560.000000|22510.000000
4096|32768|1000|0.001|29578432512|1.591000|4460.000000|230.000000
4096|32768|1000|0.01|29578502144|20.816999|4480.000000|220.000000
4096|32768|1000|0.1|29578432512|190.850998|5200.000000|230.000000
